idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
-1,1.0,0.01,True,-1.0010306567238916,0.006235546120819,5133.8307051648835,0.061902682019579394,1319.415755176843,42.933434036256976,1590,6453.246460341727
0,0.1777345451702608,0.0191220518318984,False,-1.0,-1.3933121146314252e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
1,0.0149177536644827,0.0772239067075708,True,-1.000000000126422,6.76520636432135e-10,5163.218934447232,0.0620056768242016,1320.3209535839844,42.933357568369125,1590,6483.539888031216
2,4.012284876012378,0.0001591065228362,False,-0.346511967166338,0.5408655570839359,196.18608045080424,0.028217784473089726,835.7918706318397,43.147713520421206,1590,1031.977951082644
3,88.00325802517375,0.0059557509615917,False,-1.002792885820632,0.0164796259208651,5085.492276799299,0.061734948977598146,1317.9963583128688,42.93356634686845,1590,6403.488635112168
4,5.807850053517345,0.0014456097208337,True,-1.0696154350027838,0.8404007103436045,1367.9523603788195,0.04750340923832011,1091.6566890307677,42.95619760123761,1590,2459.609049409587
5,60.72719445700681,0.0008583072173678,False,-0.98224579284915,1.0220294428138808,436.2921042262434,0.04139452174555808,903.1997167423663,42.98599503625804,1590,1339.4918209686098
6,3.2587299088548174,0.0086761413681711,False,-1.0007381472416883,0.0045114714682305,5142.134558855914,0.06193150341072641,1319.6611098189248,42.93341421295171,1590,6461.795668674839
7,8.446254083204295,0.0011328383342818,True,-1.0392472224776066,0.9691668300611658,775.6104575802162,0.044214922016691444,999.0748743138588,42.969484567412046,1590,1774.685331894075
8,9.428713158389709,0.0279439677610661,True,-1.0000000878787536,5.635074077153825e-07,5163.492024455309,0.062006633640149904,1320.329343166775,42.933356863215955,1590,6483.821367622084
9,11.994949529918651,0.0001251199004515,False,-0.304236208974305,0.4862131103613374,247.69840410698498,0.027493440517003285,878.6547656974044,43.17128246074801,1590,1126.3531698043894
10,46.754641756922304,0.002277288910828,True,-1.0511664972790298,0.3809753171028591,3338.5469000101684,0.05550377172824098,1246.5934366672757,42.940139179797384,1590,4585.140336677444
11,21.75361111020322,0.6693860628087374,True,-0.9999999999999992,-4.615862647747587e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
12,0.0647023375046115,0.0017985183037171,True,-1.0000000000000002,-1.9587044377034254e-16,5163.494851779924,0.06200664359762434,1320.3294319473036,42.93335685557623,1590,6483.824283727227
13,3.29992793490815,0.0096163551274905,True,-1.0004677809429967,0.002749918133385,5150.801118399687,0.06196232383255866,1319.9465200247955,42.933389546868945,1590,6470.747638424482
