idx,mu_sym,c4_pta_product,c4_c0_ratio_split,pta_suppression_split,screening_suppression_factor,phi_center_ratio,numerically_stable,log10_ssf,log10_pcr,gamma_theta_0,gamma_theta_1,gamma_theta_2,gamma_theta_3,gamma_theta_4,gamma_theta_5,gamma_theta_6,gamma_theta_7,gamma_theta_8,gamma_theta_9,gamma_theta_10,gamma_theta_11,gamma_theta_12,gamma_theta_13,gamma_theta_14,pta_max_deviation_from_hd,wall_time_seconds,error
0,1.0,0.08035,16.07,0.005,0.00011811720750749558,1.9741863069299735e-14,True,-3.927686829048825,-13.704611864709133,0.5799062091042586,0.46879641280871315,0.2737102909353943,0.08146208529647006,-0.05578001519702092,-0.12176101787164424,-0.13185602691204776,-0.11420161272997237,-0.08748969119963668,-0.05048514917863668,0.01019970798943659,0.1011978376906961,0.20781659220493226,0.295978580277969,0.33035000000150017,0.08035000000000003,0.02624797821044922,
1,0.19502536910988313,2.594401032017067e-05,0.005188802064034134,0.005,3.939913534257314e-05,1.1232608448080766e-14,True,-4.404513309140663,-13.949519379707946,0.49962231028991394,0.40899757891613725,0.2583400562296166,0.10512260959264895,-0.022124585299215235,-0.10848480469501746,-0.14857909587961057,-0.14431560362823867,-0.10305941057503652,-0.035885406052563525,0.04414205236981104,0.12362412042337251,0.1903444782548913,0.23456582840491874,0.2500259440118203,2.5944010320189115e-05,0.010451078414916992,
2,1.843630195370237,390.69093145536027,78138.18629107205,0.005,0.00022715622271626097,2.8418617039176347e-14,True,-3.643675361625854,-13.546397060358874,390.9952059719001,291.26657784123483,75.0181469550969,-114.97810554979098,-163.71991374869572,-64.68310922859682,81.19132434108467,146.3281480642402,75.6270277517829,-71.04807212744382,-165.04918021276038,-108.95633455607347,85.17355325964458,298.942136600336,390.94093145536175,390.69093145536027,0.0218658447265625,
3,48.61011248107067,0.001019172760250909,0.20383455205018178,0.005,nan,nan,False,nan,nan,0.5006150424854742,0.4097370077248875,0.2585301133527893,0.10483004078894687,-0.02254074382300883,-0.10864896867372552,-0.14837231059367093,-0.1439432359587182,-0.10286688676978958,-0.03606593583826412,0.04372234607058021,0.12334681335154048,0.19056052568530835,0.2353252137474681,0.25101917276175106,0.0010191727602509304,0.13165831565856934,
4,0.04276203908045105,9.679446093989311,1935.8892187978622,0.005,3.063110693372203e-05,9.898610834922096e-15,True,-4.513837308563296,-14.00442574975191,10.174203334961833,7.615033561454336,2.110524407330188,-2.74607996988026,-4.07775950431875,-1.7083298791739332,1.8666280390154832,3.4845595410035677,1.7731637655943349,-1.7952219591915937,-4.046067388437489,-2.5788466437482453,2.2958149969807433,7.63508639004136,9.929446093990812,9.679446093989313,0.005990028381347656,
5,0.0124665992767016,0.054965821676405006,10.993164335281001,0.005,3.0188142744418726e-05,1.0122868469941948e-14,True,-4.520163605117409,-13.994696406058678,0.5545347213362776,0.4498986586506411,0.2688529568050424,0.08893933430442758,-0.045144154948717305,-0.11756544086068187,-0.13714088659150583,-0.1237182999238427,-0.0924100668978492,-0.045871307429428486,0.020926239560289998,0.10828503906527258,0.20229501774341607,0.27657079234095927,0.30496582167790515,0.05496582167640501,0.005491971969604492,
6,12.271789719781864,0.18275913503142974,36.55182700628595,0.005,nan,nan,False,nan,nan,0.6822641457550697,0.5450369210770414,0.29330656781726633,0.05129610578127816,-0.09868899710137133,-0.13868752253029723,-0.11053495432752727,-0.07580778758956824,-0.0676390813882789,-0.06909908801427408,-0.03307507546248048,0.07260545414723116,0.23009265950193436,0.3742767528705848,0.43275913503292984,0.1827591350314297,0.24990081787109375,
7,9.73814739014183,0.0006889725595803603,0.13779451191607206,0.005,0.005727912712653888,6.327329764715215e-13,True,-2.242003608839446,-12.198779530601058,0.5002850073649554,0.40949118364755593,0.2584669286129045,0.10492730567148184,-0.022402391375924525,-0.1085943921436804,-0.1484410566332089,-0.14406703007886165,-0.10293089156136537,-0.036005918474218315,0.04386187798026202,0.1234390044512974,0.1904887004336903,0.23507275509429926,0.25068897256108047,0.0006889725595803364,0.04814577102661133,
8,0.892045840300774,14.44757669505939,2889.5153390118776,0.005,0.00010658103253998307,1.869357318186209e-14,True,-3.9723200766993023,-13.728307677495138,14.939950158790966,11.16476279609522,3.022919648622088,-4.150596568848663,-6.075585475762646,-2.4964215353265704,2.8593291159915566,5.272161520923726,2.6974006519071465,-2.661879912521739,-6.0609249416083095,-3.9100972093280326,3.332980266638907,11.280619697515736,14.697576695060889,14.44757669505939,0.026302814483642578,
9,0.49172986297255333,0.00835135028070808,1.6702700561416162,0.005,6.710355258256568e-05,1.4705689448040497e-14,True,-4.173254486892662,-13.832514609615906,0.5079435543601338,0.4151955924566275,0.2599331462052181,0.10267024989904257,-0.025612894295212553,-0.10986085408726798,-0.14684578770029547,-0.14119435675441244,-0.10144564446575553,-0.03739863632300055,0.04062400533826743,0.1212996870692089,0.19215542324819807,0.24093112088456345,0.25835135028220824,0.008351350280708103,0.016909360885620117,
10,5.589659543621179,1.213517541163301,242.7035082326602,0.005,0.0013238579340412832,1.0984752206025836e-13,True,-2.878158617443384,-12.959209735445285,1.7125072349556265,1.3124054254709856,0.4905450965742769,-0.2523275597730014,-0.5305722835181109,-0.3090545211186777,0.10406381938047737,0.310629984733019,0.13215933428646748,-0.2564502839810142,-0.46864019182549066,-0.2151798071942308,0.45430355255261096,1.1623558588979306,1.4635175411648012,1.213517541163301,0.1213381290435791,
11,21.40359616957967,3.165271113868253e-05,0.006330542227736506,0.005,nan,nan,False,nan,nan,0.49962801613672697,0.4090018288714935,0.2583411486056223,0.10512092801852085,-0.022126977220014523,-0.10848574824708408,-0.14857790735649223,-0.14431346340060236,-0.10305830402148108,-0.03588644366905969,0.04413964005774886,0.12362252656787037,0.1903457200132908,0.23457019306283552,0.25003165271263883,3.165271113869661e-05,0.20104146003723145,
