idx,mu_sym,c4_pta_product,c4_c0_ratio_split,pta_suppression_split,screening_suppression_factor,phi_center_ratio,numerically_stable,log10_ssf,log10_pcr,gamma_theta_0,gamma_theta_1,gamma_theta_2,gamma_theta_3,gamma_theta_4,gamma_theta_5,gamma_theta_6,gamma_theta_7,gamma_theta_8,gamma_theta_9,gamma_theta_10,gamma_theta_11,gamma_theta_12,gamma_theta_13,gamma_theta_14,pta_max_deviation_from_hd,wall_time_seconds,error
0,1.0,0.08035,16.07,0.005,0.00011811720750749558,1.9741863069299735e-14,True,-3.927686829048825,-13.704611864709133,0.5799062091042586,0.46879641280871315,0.2737102909353943,0.08146208529647006,-0.05578001519702092,-0.12176101787164424,-0.13185602691204776,-0.11420161272997237,-0.08748969119963668,-0.05048514917863668,0.01019970798943659,0.1011978376906961,0.20781659220493226,0.295978580277969,0.33035000000150017,0.08035000000000003,0.017447948455810547,
1,0.5298072505696647,32.7298321812601,6545.96643625202,0.005,7.071432866844724e-05,1.5105284537002564e-14,True,-4.150492577276148,-13.82087108954421,33.21306562174413,24.775349880261068,6.521280809691951,-9.53587928136232,-13.735770962021656,-5.518170352586748,6.6656037819225125,12.126293431069834,6.241165766383954,-5.984872390616545,-13.786413951306015,-9.01445885383014,7.309742236424165,25.258544567221147,32.9798321812616,32.7298321812601,0.01380467414855957,
2,70.19645358509929,0.0030994136577169235,0.6198827315433847,0.005,nan,nan,False,nan,nan,0.5026942433881662,0.4112856842496399,0.25892817331682694,0.10421727802827747,-0.023412355706056806,-0.10899279744672778,-0.14793921478483954,-0.14316334063743932,-0.10246366053067964,-0.03644404152987981,0.04284330364591726,0.12276601510942178,0.19101302034031845,0.23691568769077426,0.25309941365921707,0.0030994136577169318,0.12444901466369629,
3,1.8118727021155852,0.6062816714631754,121.25633429263507,0.005,0.00022236741909757824,2.80667014188337e-14,True,-3.652928844530098,-13.551808625476603,1.10557494650509,0.860336659042195,0.3743487999099608,-0.07345811809046102,-0.27614309674059806,-0.20868866240669945,-0.02235966862015218,0.0829734598234719,0.014454968272847007,-0.14607876942877945,-0.21204198154430187,-0.04564101670950563,0.32221741497863216,0.6980861537039968,0.8562816714646755,0.6062816714631754,0.01579880714416504,
4,0.013809860332635707,1.629574304631248e-05,0.003259148609262496,0.005,3.020044651190214e-05,1.0217246587221037e-14,True,-4.519986635975907,-13.990666125051295,0.4996126668461909,0.4089903960725301,0.25833821000645624,0.10512545161873238,-0.022120542717215738,-0.10848320999898854,-0.1485811046008716,-0.14431922082397522,-0.10306128075965384,-0.03588365237837371,0.04414612941505543,0.12362681419632879,0.19034237956075598,0.2345584517026744,0.2500162957445464,1.6295743046290667e-05,0.005404233932495117,
5,0.08959197354086791,1.3109341911072996,262.18683822145994,0.005,3.2273558802197915e-05,1.0161508075199541e-14,True,-4.491153142345126,-13.993041833377454,1.8098751824599368,1.3849291793650975,0.5091860473509935,-0.28102293607656453,-0.5713894358975994,-0.3251558521044477,0.12434548139978235,0.347152095993562,0.15104221916362676,-0.2741567860725882,-0.5098053127850999,-0.2423783009405498,0.47549365292144047,1.2368369651817472,1.5609341911088,1.3109341911072998,0.008896827697753906,
6,3.7243341537465002,0.0007502874632027502,0.15005749264055004,0.005,0.0006387652612212116,5.6116705209821695e-14,True,-3.1946587106772184,-13.250907835704961,0.5003462916148302,0.4095368307415887,0.25847866139268044,0.10490924454709015,-0.022428082053706274,-0.10860452646423188,-0.14842829117522272,-0.14404404273805993,-0.10291900650612049,-0.03601706310370269,0.04383596828796924,0.12342188547806553,0.1905020376708321,0.23511963416328907,0.2507502874647029,0.0007502874632027701,0.017687559127807617,
7,10.799265383858115,215.94706964064693,43189.41392812938,0.005,nan,nan,False,nan,nan,216.33870553120093,161.17504999622852,41.580416048788926,-63.50496544085071,-90.50299611529657,-35.80089290902729,44.81052139506346,80.81558150644236,41.75532073317448,-39.28653489032242,-91.20808413024162,-60.168269728271476,47.16321341713017,165.33955273250484,216.19706964064844,215.94706964064693,0.2065284252166748,
8,0.25824866217809506,0.04676662277919288,9.353324555838576,0.005,4.5013299653356684e-05,1.2011607242824278e-14,True,-4.34665915038699,-13.920398876861237,0.5463396215431715,0.44379460268800924,0.26728401696632587,0.09135451792938815,-0.04170872629283938,-0.11621025142090884,-0.13884791902341465,-0.12679223086422553,-0.0939993694344278,-0.04438101667824606,0.024390955443762276,0.11057423562519172,0.20051152541766068,0.27030199327163723,0.296766622780693,0.04676662277919286,0.01959085464477539,
9,0.10610744509343836,0.13233036937157824,26.466073874315647,0.005,3.3108692503782287e-05,1.0292658589531698e-14,True,-4.48005796964372,-13.987472432659075,0.6318605914314686,0.5074942279953008,0.2836568812499674,0.06615057273292872,-0.07755956375059453,-0.13035249717724032,-0.121033972531826,-0.09471384719251813,-0.07741400771760379,-0.059933128754281466,-0.011765512472735558,0.08668504391163517,0.2191233785173929,0.3357208154919923,0.3823303693730784,0.13233036937157827,0.011797666549682617,
10,25.340622609355954,7.580049782958284e-05,0.015160099565916569,0.005,nan,nan,False,nan,nan,0.4996721418521916,0.4090346955654188,0.2583495964091454,0.10510792369787554,-0.022145474950511473,-0.10849304513243384,-0.148568716006871,-0.14429691211929307,-0.10304974657699757,-0.035894467994242604,0.044120984633031685,0.12361020061228767,0.19035532305375236,0.23460394679994936,0.2500758004993297,7.58004978295701e-05,0.12691783905029297,
11,9.809360730387745,21.41585928566012,4283.171857132023,0.005,0.005860795190291586,6.547182305944478e-13,True,-2.2320434550866217,-12.183945566002794,21.90474902907493,16.35243874220779,4.356320179684399,-6.2031973433754395,-8.995265555989102,-3.6481612477693615,4.31009089479236,7.884614240403662,4.048106902075554,-3.9284386613196007,-9.00549546305118,-5.855624904768075,4.84872328980877,16.60830645891186,21.665859285661618,21.41585928566012,0.041399478912353516,
12,0.04074235824697025,0.004644447659511732,0.9288895319023464,0.005,3.0585325360596164e-05,9.89118486024087e-15,True,-4.514486895203453,-14.004751681361094,0.5042385049663011,0.4124359154038483,0.2592238199315727,0.10376216761225733,-0.02405971822898284,-0.10924816553689992,-0.14761754638985006,-0.14258409772827224,-0.10216417682636461,-0.03672486773156155,0.04219042232011562,0.1223346453419352,0.19134909662286467,0.23809696257310642,0.25464444766101185,0.004644447659511719,0.005681753158569336,
13,0.019820287355084912,324.6888722054,64937.77444108,0.005,3.0270771789626416e-05,1.0631434175462996e-14,True,-4.51897650604366,-13.973408145403667,325.02614376414755,242.13003799614253,62.38846672745905,-95.53631681987218,-136.0653381570043,-53.77408081982962,67.45002386467365,121.58356330652447,62.83343151141842,-59.05150274398181,-137.15884776784668,-90.52871877595592,70.81676454991077,248.47944472196582,324.9388722054015,324.6888722054,0.00543522834777832,
14,1.5120847986381405,0.0307729338091728,6.15458676183456,0.005,0.00017995376465066316,2.4860016203062908e-14,True,-3.7448390634322575,-13.604498592633291,0.5303539284514013,0.4318877842602815,0.26422357946411607,0.09606567278577771,-0.035007440217258524,-0.11356676409160947,-0.1421777255227996,-0.13278836487586917,-0.0970995272386183,-0.04147399526699407,0.03114937036995532,0.11503963501720253,0.1970325731570626,0.25807382027727577,0.2807729338106729,0.030772933809172787,0.016144752502441406,
15,51.985453794599835,6.1184911974353104,1223.698239487062,0.005,nan,nan,False,nan,nan,6.6150287007262625,4.9640101820404965,1.429125642509902,-1.6971531096836303,-2.5857348995649883,-1.1197640288005655,1.125254939864413,2.149535281798559,1.0829213747603217,-1.1479809037859696,-2.541323187804172,-1.5846366237924692,1.5212349666652716,4.912514219117976,6.368491197436811,6.1184911974353104,0.12504816055297852,
16,0.6897346977033075,0.0001646849616721782,0.032936992334435644,0.005,8.610931271216555e-05,1.6719253462897753e-14,True,-4.06494987710856,-13.776783118295466,0.4997609818791721,0.409100867364433,0.25836660470204253,0.10508174159102861,-0.022182717154045652,-0.10850773623680507,-0.1485502107035634,-0.1442635887779581,-0.10303251753967108,-0.03591062368165171,0.04408342493756265,0.12358538428432568,0.19037465723031394,0.23467190451767264,0.2501646849631723,0.00016468496167215685,0.0241544246673584,
17,0.8421241479639013,3.6407821066921926,728.1564213384385,0.005,0.00010139913522897431,1.820895247089204e-14,True,-3.9939657488181273,-13.739715037686508,4.138558314841369,3.1194305909587245,0.9550090184408465,-0.9673107801587997,-1.5475855732738117,-0.7102404598886805,0.6094082299898752,1.22062664928657,0.602651363971724,-0.6976311820210042,-1.494323578581344,-0.8928662205963591,0.9822829051050557,3.0181510457374126,3.8907821066936927,3.6407821066921926,0.019464731216430664,
18,35.5685157679625,0.00027816018038140215,0.05563203607628043,0.005,nan,nan,False,nan,nan,0.49987440036712744,0.409185346237803,0.25838831850525334,0.1050483159486578,-0.022230262776852562,-0.1085264917786572,-0.14852658572739402,-0.14422104620884496,-0.10301052192092901,-0.035931248997740604,0.044035473985576834,0.12355370227690499,0.19039934039561685,0.2347586634016018,0.25027816018188154,0.0002781601803814038,0.1909799575805664,
19,1.2373729021741122,583.688756170252,116737.75123405039,0.005,0.00014523486259128903,2.2072612581911527e-14,True,-3.8379291218337483,-13.656146259373193,583.8965434341138,434.9476297945513,111.94882515632669,-171.82819441187576,-244.58516239793687,-96.58239807762305,121.37251157733937,218.68423946475622,113.03701575412616,-106.12745936718103,-246.60380977451524,-162.84086180658707,127.15450085972432,446.501013890807,583.9387561702534,583.688756170252,0.02222466468811035,
20,0.028993956497541187,0.016878955316192004,3.3757910632384007,0.005,3.042575810675322e-05,1.1595318253903036e-14,True,-4.516758591816787,-13.935717326886527,0.5164668961082828,0.42154413687131587,0.26156492748491844,0.10015832985660586,-0.029185923693837268,-0.1112703235287975,-0.14507038274371736,-0.1379973042990986,-0.09979268489205335,-0.03894861834849325,0.037020515657773714,0.11891880030742824,0.19401035058055366,0.24745100693442668,0.2668789553176921,0.01687895531619199,0.005437374114990234,
21,0.044704338880536106,11.79753140820224,2359.506281640448,0.005,3.0677204325829684e-05,9.906082501576863e-15,True,-4.513184221032947,-14.004098059370888,12.29122973447866,9.191884111570937,2.515826007270515,-3.36999030932768,-4.965228033288748,-2.0584136966717237,2.307602867195421,4.278642970781499,2.183725627157799,-2.180206272117597,-4.941101637844238,-3.1702109557617204,2.7565415814374767,9.254494750899317,12.047531408203739,11.79753140820224,0.005776643753051758,
22,6.0180738558021005,0.008388850380660687,1.6777700761321372,0.005,0.0016734771189902825,1.2911056704681572e-13,True,-2.7763802212591133,-12.889038211472425,0.507981035712302,0.41522351014853676,0.2599403219551309,0.10265920374337842,-0.02562860667389619,-0.10986705222199837,-0.14683798036599105,-0.14118029773243276,-0.10143837558440215,-0.03740545236110725,0.04060815901064855,0.12128921713173278,0.19216358028174718,0.24095979205044554,0.2583888503821608,0.008388850380660673,0.027525663375854492,
23,23.12644247543508,0.2245440689044873,44.90881378089746,0.005,nan,nan,False,nan,nan,0.724028189685566,0.5761445424377987,0.301302232788129,0.03898779501513942,-0.11619670255053113,-0.1455938681179907,-0.10183553891137881,-0.0601423545778241,-0.05953964359835041,-0.07669393981265654,-0.0507320351111904,0.060939201373295365,0.23918173147457963,0.40622394159705544,0.47454406890598744,0.2245440689044873,0.12305474281311035,
24,0.17271653921854432,4.530590281253203e-05,0.009061180562506406,0.005,3.758904844257553e-05,1.0970150081250123e-14,True,-4.424938668203968,-13.959787430856199,0.4996416625026298,0.40901199326036736,0.2583437611823644,0.10511690628842595,-0.022132697847908608,-0.1084880048896424,-0.1485750648298895,-0.14430834473366339,-0.10305565753705843,-0.03588892528043791,0.04413387066117177,0.1236187146296794,0.1903486898598426,0.2345806317796335,0.2500453059043127,4.530590281254243e-05,0.0194246768951416,
25,0.21131025414006063,119.02168998919285,23804.33799783857,0.005,4.078865929038343e-05,1.1430142692577699e-14,True,-4.3894605695629645,-13.941948347888857,119.46178271396846,89.0170319985213,23.033471228411983,-34.95429936823306,-49.8916838504275,-19.78076062582288,24.63113940734698,44.477650550740776,22.96766188137146,-21.669326348336444,-50.25055808411067,-33.106937462943804,26.07997431701837,91.23405323555812,119.27168998919436,119.02168998919285,0.01250910758972168,
