t,a,x,y,H,w_phi,omega_phi
0.00000e+00,1.00000e-10,1.00000e-03,2.89675e-01,5.53775e+17,-1.00000e+00,1.08695e-36
1.40281e-01,1.67451e-01,1.00358e-03,2.89675e-01,4.76814e+00,-1.00000e+00,1.46615e-02
2.80561e-01,2.66961e-01,1.01432e-03,2.89673e-01,2.42037e+00,-1.00000e+00,5.69001e-02
4.20842e-01,3.52596e-01,1.03222e-03,2.89670e-01,1.65245e+00,-1.00000e+00,1.22072e-01
5.61122e-01,4.31955e-01,1.05731e-03,2.89667e-01,1.27945e+00,-9.99999e-01,2.03623e-01
7.01403e-01,5.08503e-01,1.08962e-03,2.89662e-01,1.06412e+00,-9.99999e-01,2.94370e-01
8.41683e-01,5.84339e-01,1.12919e-03,2.89656e-01,9.27279e-01,-9.99999e-01,3.87663e-01
9.81964e-01,6.60955e-01,1.17611e-03,2.89650e-01,8.34945e-01,-9.99998e-01,4.78145e-01
1.12224e+00,7.39526e-01,1.23045e-03,2.89643e-01,7.70096e-01,-9.99998e-01,5.62064e-01
1.26253e+00,8.21048e-01,1.29234e-03,2.89635e-01,7.23260e-01,-9.99997e-01,6.37215e-01
1.40281e+00,9.06418e-01,1.36193e-03,2.89626e-01,6.88746e-01,-9.99997e-01,7.02679e-01
1.54309e+00,9.96473e-01,1.43940e-03,2.89617e-01,6.62933e-01,-9.99996e-01,7.58465e-01
1.68337e+00,1.09202e+00,1.52498e-03,2.89607e-01,6.43413e-01,-9.99995e-01,8.05181e-01
1.82365e+00,1.19387e+00,1.61895e-03,2.89598e-01,6.28529e-01,-9.99994e-01,8.43766e-01
1.96393e+00,1.30282e+00,1.72161e-03,2.89587e-01,6.17107e-01,-9.99993e-01,8.75288e-01
2.10421e+00,1.41972e+00,1.83333e-03,2.89577e-01,6.08300e-01,-9.99992e-01,9.00817e-01
2.24449e+00,1.54541e+00,1.95453e-03,2.89566e-01,6.01482e-01,-9.99990e-01,9.21351e-01
2.38477e+00,1.68082e+00,2.08567e-03,2.89556e-01,5.96189e-01,-9.99989e-01,9.37780e-01
2.52505e+00,1.82689e+00,2.22729e-03,2.89545e-01,5.92071e-01,-9.99987e-01,9.50867e-01
2.66533e+00,1.98464e+00,2.37996e-03,2.89534e-01,5.88862e-01,-9.99985e-01,9.61258e-01
2.80561e+00,2.15515e+00,2.54433e-03,2.89523e-01,5.86356e-01,-9.99982e-01,9.69486e-01
2.94589e+00,2.33958e+00,2.72112e-03,2.89513e-01,5.84398e-01,-9.99980e-01,9.75989e-01
3.08617e+00,2.53917e+00,2.91109e-03,2.89502e-01,5.82867e-01,-9.99976e-01,9.81119e-01
3.22645e+00,2.75527e+00,3.11509e-03,2.89492e-01,5.81668e-01,-9.99973e-01,9.85161e-01
3.36673e+00,2.98931e+00,3.33404e-03,2.89481e-01,5.80729e-01,-9.99969e-01,9.88343e-01
3.50701e+00,3.24286e+00,3.56892e-03,2.89471e-01,5.79992e-01,-9.99964e-01,9.90846e-01
3.64729e+00,3.51758e+00,3.82081e-03,2.89461e-01,5.79415e-01,-9.99959e-01,9.92814e-01
3.78758e+00,3.81531e+00,4.09087e-03,2.89452e-01,5.78961e-01,-9.99953e-01,9.94359e-01
3.92786e+00,4.13800e+00,4.38035e-03,2.89443e-01,5.78604e-01,-9.99945e-01,9.95573e-01
4.06814e+00,4.48779e+00,4.69057e-03,2.89434e-01,5.78324e-01,-9.99937e-01,9.96526e-01
