#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-18T16:18:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-18T16:18:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=II/246&-c=&-c.rs=5&limit=5000&-out=2MASS,RAJ2000,DEJ2000,Kmag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#INFO	ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	creator=Cutri R.M.	    First author or institution
#INFO	cites=bibcode:2003yCat.2246....0C	    Bibcode of the dataset
#INFO	journal=yCat	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/246	    Dataset landing page
#INFO	publication_date=2025-03-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
2MASS	RAJ2000	DEJ2000	Kmag
 	deg	deg	mag
-----------------	----------	----------	------
03010806+0150044 	045.283603	+01.834574	12.953
03005559+0149461 	045.231659	+01.829498	16.530
03005470+0150016 	045.227931	+01.833780	12.022
03001955+0143233 	045.081460	+01.723147	14.550
03001834+0144082 	045.076438	+01.735632	11.295
03002306+0145050 	045.096100	+01.751396	13.907
03002149+0145138 	045.089549	+01.753851	14.555
03002470+0145485 	045.102926	+01.763478	13.762
03001633+0145349 	045.068055	+01.759711	14.351
03002475+0146007 	045.103156	+01.766883	15.240
03001873+0146326 	045.078054	+01.775727	15.337
03003464+0146282 	045.144336	+01.774510	15.081
03003343+0146366 	045.139319	+01.776834	15.526
03002862+0146558 	045.119259	+01.782168	16.659
03003013+0147121 	045.125552	+01.786702	14.004
03002341+0147209 	045.097564	+01.789141	12.711
03003242+0148205 	045.135107	+01.805700	14.146
03003482+0148548 	045.145124	+01.815224	12.802
03002925+0149061 	045.121887	+01.818372	15.948
03001310+0147161 	045.054602	+01.787828	15.683
03001348+0147288 	045.056183	+01.791356	10.558
03001394+0148033 	045.058118	+01.800920	12.778
03000489+0148089 	045.020399	+01.802475	12.555
03001911+0148158 	045.079628	+01.804391	10.746
03001878+0148570 	045.078289	+01.815843	14.080
03002159+0149223 	045.089960	+01.822870	12.684
03003038+0149397 	045.126594	+01.827705	14.518
03001632+0148510 	045.068006	+01.814178	14.611
03001440+0150139 	045.060017	+01.837210	16.976
03001598+0150299 	045.066587	+01.841647	15.186
03001913+0150064 	045.079728	+01.835122	13.465
03004237+0148438 	045.176544	+01.812169	15.466
03004151+0148547 	045.172972	+01.815197	15.244
03005176+0149447 	045.215698	+01.829100	15.511
03005097+0149388 	045.212396	+01.827460	14.843
03005045+0149398 	045.210231	+01.827724	14.603
03004754+0149493 	045.198093	+01.830385	15.522
03003555+0149301 	045.148145	+01.825047	14.383
03003846+0150244 	045.160282	+01.840135	15.200
03004409+0150092 	045.183718	+01.835904	15.590
03003854+0151024 	045.160613	+01.850672	15.122
03004248+0151449 	045.177019	+01.862481	14.704
03005607+0151141 	045.233625	+01.853917	13.561
03005817+0151447 	045.242392	+01.862422	15.621
03010197+0151597 	045.258237	+01.866598	14.532
03004388+0151491 	045.182834	+01.863640	15.158
03005259+0152162 	045.219128	+01.871189	15.017
03005688+0152510 	045.237019	+01.880860	15.346
03005470+0153063 	045.227927	+01.885086	14.887
03005438+0153403 	045.226588	+01.894535	15.066
03005312+0153447 	045.221363	+01.895776	15.646
03002555+0151495 	045.106461	+01.863759	15.721
03002798+0152523 	045.116597	+01.881202	15.158
03003328+0153388 	045.138687	+01.894114	12.256
03003324+0153450 	045.138520	+01.895853	14.504
03004401+0152273 	045.183382	+01.874251	14.178
03004756+0153164 	045.198173	+01.887910	15.244
03003722+0154127 	045.155095	+01.903534	14.620
03004030+0154276 	045.167929	+01.907676	15.442
03004138+0155328 	045.172436	+01.925799	14.192
03012343+0148036 	045.347666	+01.801008	14.542
03012312+0148537 	045.346343	+01.814919	15.455
03013297+0149518 	045.387401	+01.831082	15.216
03012845+0150065 	045.368545	+01.835149	14.729
03011864+0150264 	045.327688	+01.840685	12.862
03012373+0150297 	045.348915	+01.841594	15.826
03012663+0150292 	045.360996	+01.841471	14.250
03012640+0150364 	045.360032	+01.843463	13.855
03012183+0151014 	045.340978	+01.850413	15.248
03013905+0151108 	045.412709	+01.853017	15.242
03014283+0152157 	045.428498	+01.871042	15.123
03013575+0151453 	045.398960	+01.862603	10.253
03014047+0152248 	045.418631	+01.873565	13.584
03013187+0151216 	045.382813	+01.856006	12.545
03012623+0151542 	045.359306	+01.865063	14.882
03013599+0152130 	045.399992	+01.870298	15.291
03013839+0152405 	045.409986	+01.877944	16.959
03013626+0153030 	045.401107	+01.884181	13.436
03013791+0153118 	045.407980	+01.886638	13.206
03013573+0153387 	045.398895	+01.894095	15.259
03011669+0151186 	045.319580	+01.855171	15.199
03011984+0151310 	045.332673	+01.858616	13.811
03010588+0152108 	045.274523	+01.869686	13.502
03010849+0152033 	045.285379	+01.867610	16.968
03011380+0152200 	045.307510	+01.872231	15.278
03011307+0152302 	045.304494	+01.875078	15.387
03011722+0152471 	045.321783	+01.879757	13.400
03012087+0153219 	045.336988	+01.889433	15.012
03012479+0153465 	045.353319	+01.896255	15.075
03011708+0154341 	045.321168	+01.909477	15.291
03011910+0154565 	045.329605	+01.915696	13.088
03012209+0155542 	045.342059	+01.931747	14.794
03014587+0152428 	045.441157	+01.878569	14.607
03015158+0153441 	045.464941	+01.895596	15.388
03014668+0154084 	045.444513	+01.902345	15.189
03013864+0153444 	045.411030	+01.895672	14.626
03014338+0154109 	045.430758	+01.903051	15.740
03014182+0154273 	045.424272	+01.907588	15.034
03014087+0154465 	045.420319	+01.912918	12.878
03013933+0155038 	045.413892	+01.917739	14.942
03014480+0155108 	045.436683	+01.919691	12.613
03014152+0155257 	045.423038	+01.923830	15.385
03015662+0154524 	045.485951	+01.914583	14.881
03015988+0155150 	045.499515	+01.920839	16.372
03015928+0155235 	045.497029	+01.923204	14.925
03015126+0155199 	045.463608	+01.922204	14.050
03020146+0155431 	045.506118	+01.928648	15.346
03015870+0156172 	045.494608	+01.938123	15.941
03015016+0155405 	045.459007	+01.927931	15.129
03015066+0156098 	045.461098	+01.936067	14.126
03015280+0157287 	045.470039	+01.957985	14.510
03015367+0157460 	045.473630	+01.962792	11.934
03013820+0155146 	045.409188	+01.920730	14.134
03013848+0155184 	045.410339	+01.921797	15.016
03013778+0155323 	045.407455	+01.925649	15.248
03013436+0155558 	045.393187	+01.932185	15.082
03013349+0156000 	045.389565	+01.933354	13.204
03013941+0155574 	045.414222	+01.932631	13.301
03014098+0156314 	045.420780	+01.942074	14.936
03012961+0155511 	045.373404	+01.930874	14.186
03013381+0156328 	045.390900	+01.942460	13.792
03013119+0156263 	045.379963	+01.940652	15.227
03012657+0156479 	045.360738	+01.946646	13.933
03013756+0157220 	045.406524	+01.956116	15.193
03013359+0158095 	045.389980	+01.969315	12.072
03014793+0158036 	045.449744	+01.967676	11.154
03015327+0158541 	045.471990	+01.981705	15.471
03013621+0158326 	045.400875	+01.975737	15.135
03014854+0159309 	045.452286	+01.991932	16.428
03010384+0153200 	045.266028	+01.888910	15.171
03011250+0154019 	045.302105	+01.900545	13.973
03005665+0153234 	045.236056	+01.889846	15.277
03010282+0154055 	045.261764	+01.901538	13.837
03005995+0154258 	045.249793	+01.907186	15.696
03005645+0154351 	045.235227	+01.909768	16.737
03011524+0155030 	045.313532	+01.917510	13.988
03012185+0156535 	045.341057	+01.948216	13.236
03011905+0156499 	045.329404	+01.947202	14.796
03011406+0157085 	045.308603	+01.952362	12.121
03011453+0157560 	045.310556	+01.965562	14.182
03004810+0155181 	045.200434	+01.921719	13.301
03005952+0155439 	045.248006	+01.928876	13.317
03005163+0157014 	045.215160	+01.950414	13.081
03010761+0158524 	045.281736	+01.981229	14.708
03010644+0159561 	045.276845	+01.998917	10.168
03012515+0157066 	045.354807	+01.951858	15.111
03012447+0157108 	045.351963	+01.953019	15.472
03012847+0158114 	045.368653	+01.969849	15.364
