t,x_pos,y_pos,phi1,phi2,grad_sq,potential,temperature,energy_density,vorticity,attractor_id
0.0000,0.0,0.0,0.003471,0.006647,0.002461,0.000493,2.500000,0.001724,-1,10
0.0000,0.0,1.0,0.013129,-0.011265,0.000899,0.002623,2.500000,0.003073,0,9
0.0000,0.0,2.0,-0.033211,-0.010770,0.002717,0.010631,2.500000,0.011990,1,5
0.0000,0.0,3.0,0.009696,0.073821,0.012069,0.047136,2.500000,0.053170,-1,10
0.0000,0.0,4.0,-0.065502,-0.120544,0.011227,0.153801,2.500000,0.159415,0,5
0.0000,0.0,5.0,0.091342,0.001804,0.004475,0.069739,2.500000,0.071977,0,10
0.0000,0.0,6.0,-0.020449,-0.031697,0.000288,0.012423,2.500000,0.012567,0,5
0.0000,0.0,7.0,0.000864,-0.040164,0.002013,0.014026,2.500000,0.015033,0,9
0.0000,0.0,8.0,-0.049680,0.001125,0.000412,0.021354,2.500000,0.021560,0,6
0.0000,0.0,9.0,-0.035196,0.035309,0.001965,0.021649,2.500000,0.022632,0,6
0.0000,0.0,10.0,0.038159,-0.000493,0.003634,0.012669,2.500000,0.014486,1,9
0.0000,0.0,11.0,0.000642,-0.102619,0.014468,0.086866,2.500000,0.094100,0,9
0.0000,0.0,12.0,-0.028104,-0.009807,0.003712,0.007741,2.500000,0.009597,-1,5
0.0000,0.0,13.0,0.027310,-0.031602,0.001563,0.015226,2.500000,0.016008,0,9
0.0000,0.0,14.0,-0.005908,0.014611,0.003915,0.002177,2.500000,0.004134,0,6
0.0000,0.0,15.0,-0.006190,0.026719,0.002488,0.006573,2.500000,0.007817,0,6
0.0000,0.0,16.0,0.053148,0.100919,0.011339,0.108569,2.500000,0.114239,0,10
0.0000,0.0,17.0,0.014071,-0.060196,0.000735,0.032860,2.500000,0.033228,0,9
0.0000,0.0,18.0,0.009004,-0.010756,0.001962,0.001725,2.500000,0.002706,0,9
0.0000,0.0,19.0,-0.074084,-0.013300,0.012925,0.048182,2.500000,0.054645,1,5
0.0000,0.0,20.0,0.056537,0.028279,0.010888,0.034509,2.500000,0.039953,0,10
0.0000,0.0,21.0,-0.006606,-0.088606,0.002304,0.066171,2.500000,0.067323,0,5
0.0000,0.0,22.0,-0.073811,-0.020593,0.003280,0.050012,2.500000,0.051652,1,5
0.0000,0.0,23.0,-0.001255,0.040485,0.003669,0.014257,2.500000,0.016091,0,6
0.0000,0.0,24.0,0.081181,0.005923,0.006025,0.055941,2.500000,0.058953,1,10
0.0000,0.0,25.0,0.031617,0.037433,0.002786,0.020912,2.500000,0.022305,0,10
0.0000,0.0,26.0,0.019727,-0.041428,0.001162,0.018314,2.500000,0.018895,1,9
0.0000,0.0,27.0,-0.008614,-0.017783,0.001438,0.003420,2.500000,0.004139,0,5
0.0000,0.0,28.0,-0.046530,-0.061705,0.002805,0.051429,2.500000,0.052832,0,5
0.0000,0.0,29.0,0.020371,-0.004080,0.004322,0.003778,2.500000,0.005939,0,9
0.0000,0.0,30.0,0.054921,-0.066216,0.006504,0.063502,2.500000,0.066754,-1,9
