s,delta_d,tau1,tau2,t1,t2,min_mass_gap,theoretical_bound,eft_cutoff
0.0000,0.000000,0.000000,1.000000,0.000000,1.000000,1.00000000,1.00000000,10.00000000
0.0100,0.014142,0.000000,1.010050,0.000000,1.010050,0.99005000,0.99004983,9.90049834
0.0200,0.028284,0.000000,1.020200,0.000000,1.020200,0.98019948,0.98019916,9.80199159
0.0300,0.042424,0.000000,1.030452,0.000000,1.030452,0.97044746,0.97044697,9.70446975
0.0400,0.056564,0.000000,1.040807,0.000000,1.040807,0.96079293,0.96079229,9.60792293
0.0500,0.070704,0.000000,1.051265,0.000000,1.051265,0.95123492,0.95123413,9.51234133
0.0600,0.084842,0.000000,1.061828,0.000000,1.061828,0.94177246,0.94177153,9.41771525
0.0700,0.098980,0.000000,1.072496,0.000000,1.072496,0.93240459,0.93240351,9.32403510
0.0800,0.113117,0.000000,1.083271,0.000000,1.083271,0.92313036,0.92312914,9.23129138
0.0900,0.127254,0.000000,1.094153,0.000000,1.094153,0.91394883,0.91394747,9.13947467
0.1000,0.141390,0.000000,1.105144,0.000000,1.105144,0.90485906,0.90485757,9.04857567
0.1100,0.155525,0.000000,1.116246,0.000000,1.116246,0.89586014,0.89585852,8.95858515
0.1200,0.169659,0.000000,1.127458,0.000000,1.127458,0.88695116,0.88694940,8.86949400
0.1300,0.183793,0.000000,1.138782,0.000000,1.138782,0.87813120,0.87812932,8.78129318
0.1400,0.197926,0.000000,1.150219,0.000000,1.150219,0.86939939,0.86939738,8.69397375
0.1500,0.212059,0.000000,1.161771,0.000000,1.161771,0.86075482,0.86075269,8.60752686
0.1600,0.226190,0.000000,1.173438,0.000000,1.173438,0.85219663,0.85219438,8.52194375
0.1700,0.240321,0.000000,1.185222,0.000000,1.185222,0.84372394,0.84372157,8.43721575
0.1800,0.254451,0.000000,1.197123,0.000000,1.197123,0.83533591,0.83533343,8.35333426
0.1900,0.268581,0.000000,1.209144,0.000000,1.209144,0.82703168,0.82702908,8.27029080
0.2000,0.282710,0.000000,1.221284,0.000000,1.221284,0.81881040,0.81880769,8.18807694
0.2100,0.296838,0.000000,1.233546,0.000000,1.233546,0.81067125,0.81066844,8.10668436
0.2200,0.310965,0.000000,1.245930,0.000000,1.245930,0.80261340,0.80261048,8.02610481
0.2300,0.325092,0.000000,1.258438,0.000000,1.258438,0.79463603,0.79463301,7.94633014
0.2400,0.339218,0.000000,1.271071,0.000000,1.271071,0.78673834,0.78673523,7.86735226
0.2500,0.353344,0.000000,1.283830,0.000000,1.283830,0.77891953,0.77891632,7.78916318
0.2600,0.367468,0.000000,1.296716,0.000000,1.296716,0.77117881,0.77117550,7.71175498
0.2700,0.381592,0.000000,1.309731,0.000000,1.309731,0.76351539,0.76351198,7.63511983
0.2800,0.395716,0.000000,1.322876,0.000000,1.322876,0.75592849,0.75592500,7.55924995
0.2900,0.409838,0.000000,1.336153,0.000000,1.336153,0.74841735,0.74841377,7.48413769
0.3000,0.423960,0.000000,1.349562,0.000000,1.349562,0.74098121,0.74097754,7.40977543
0.3100,0.438081,0.000000,1.363105,0.000000,1.363105,0.73361932,0.73361556,7.33615564
0.3200,0.452202,0.000000,1.376783,0.000000,1.376783,0.72633092,0.72632709,7.26327089
0.3300,0.466321,0.000000,1.390598,0.000000,1.390598,0.71911529,0.71911138,7.19111378
0.3400,0.480440,0.000000,1.404550,0.000000,1.404550,0.71197170,0.71196770,7.11967704
0.3500,0.494559,0.000000,1.418642,0.000000,1.418642,0.70489941,0.70489534,7.04895342
0.3600,0.508677,0.000000,1.432875,0.000000,1.432875,0.69789772,0.69789358,6.97893577
0.3700,0.522794,0.000000,1.447249,0.000000,1.447249,0.69096592,0.69096170,6.90961702
0.3800,0.536910,0.000000,1.461768,0.000000,1.461768,0.68410330,0.68409901,6.84099014
0.3900,0.551025,0.000000,1.476431,0.000000,1.476431,0.67730918,0.67730482,6.77304821
0.4000,0.565140,0.000000,1.491240,0.000000,1.491240,0.67058286,0.67057844,6.70578435
0.4100,0.579255,0.000000,1.506197,0.000000,1.506197,0.66392367,0.66391918,6.63919177
0.4200,0.593368,0.000000,1.521304,0.000000,1.521304,0.65733093,0.65732637,6.57326372
0.4300,0.607481,0.000000,1.536561,0.000000,1.536561,0.65080397,0.65079936,6.50799355
0.4400,0.621593,0.000000,1.551971,0.000000,1.551971,0.64434214,0.64433747,6.44337466
0.4500,0.635704,0.000000,1.567534,0.000000,1.567534,0.63794479,0.63794005,6.37940052
0.4600,0.649815,0.000000,1.583252,0.000000,1.583252,0.63161126,0.63160647,6.31606466
0.4700,0.663925,0.000000,1.599128,0.000000,1.599128,0.62534091,0.62533607,6.25336069
0.4800,0.678035,0.000000,1.615162,0.000000,1.615162,0.61913313,0.61912823,6.19128227
0.4900,0.692143,0.000000,1.631355,0.000000,1.631355,0.61298726,0.61298231,6.12982313
0.5000,0.706251,0.000000,1.647711,0.000000,1.647711,0.60690271,0.60689771,6.06897706
0.5100,0.720358,0.000000,1.664229,0.000000,1.664229,0.60087884,0.60087379,6.00873791
0.5200,0.734465,0.000000,1.680912,0.000000,1.680912,0.59491506,0.59490996,5.94909961
0.5300,0.748571,0.000000,1.697762,0.000000,1.697762,0.58901076,0.58900561,5.89005612
0.5400,0.762676,0.000000,1.714780,0.000000,1.714780,0.58316534,0.58316015,5.83160150
0.5500,0.776781,0.000000,1.731967,0.000000,1.731967,0.57737822,0.57737298,5.77372983
0.5600,0.790884,0.000000,1.749326,0.000000,1.749326,0.57164880,0.57164353,5.71643527
0.5700,0.804987,0.000000,1.766858,0.000000,1.766858,0.56597652,0.56597120,5.65971205
0.5800,0.819090,0.000000,1.784565,0.000000,1.784565,0.56036080,0.56035544,5.60355443
0.5900,0.833192,0.000000,1.802448,0.000000,1.802448,0.55480107,0.55479568,5.54795675
0.6000,0.847293,0.000000,1.820510,0.000000,1.820510,0.54929677,0.54929134,5.49291340
0.6100,0.861393,0.000000,1.838751,0.000000,1.838751,0.54384735,0.54384188,5.43841882
0.6200,0.875492,0.000000,1.857175,0.000000,1.857175,0.53845225,0.53844675,5.38446752
0.6300,0.889591,0.000000,1.875782,0.000000,1.875782,0.53311094,0.53310541,5.33105406
0.6400,0.903690,0.000000,1.894575,0.000000,1.894575,0.52782287,0.52781730,5.27817304
0.6500,0.917787,0.000000,1.913555,0.000000,1.913555,0.52258751,0.52258191,5.22581913
0.6600,0.931884,0.000000,1.932724,0.000000,1.932724,0.51740433,0.51739871,5.17398706
0.6700,0.945980,0.000000,1.952085,0.000000,1.952085,0.51227281,0.51226716,5.12267159
0.6800,0.960076,0.000000,1.971638,0.000000,1.971638,0.50719243,0.50718675,5.07186755
0.6900,0.974170,0.000000,1.991387,0.000000,1.991387,0.50216269,0.50215698,5.02156982
0.7000,0.988264,0.000000,2.011332,0.000000,2.011332,0.49718306,0.49717733,4.97177333
0.7100,1.002358,0.000000,2.031475,0.000000,2.031475,0.49225306,0.49224731,4.92247307
0.7200,1.016451,0.000000,2.051820,0.000000,2.051820,0.48737218,0.48736640,4.87366405
0.7300,1.030543,0.000000,2.072367,0.000000,2.072367,0.48253993,0.48253414,4.82534136
0.7400,1.044634,0.000000,2.093119,0.000000,2.093119,0.47775583,0.47775001,4.77750014
0.7500,1.058724,0.000000,2.114078,0.000000,2.114078,0.47301939,0.47301356,4.73013556
0.7600,1.072814,0.000000,2.135246,0.000000,2.135246,0.46833014,0.46832429,4.68324285
0.7700,1.086904,0.000000,2.156624,0.000000,2.156624,0.46368760,0.46368173,4.63681729
0.7800,1.100992,0.000000,2.178216,0.000000,2.178216,0.45909131,0.45908542,4.59085419
0.7900,1.115080,0.000000,2.200023,0.000000,2.200023,0.45454080,0.45453489,4.54534894
0.8000,1.129167,0.000000,2.222046,0.000000,2.222046,0.45003561,0.45002969,4.50029694
0.8100,1.143254,0.000000,2.244290,0.000000,2.244290,0.44557530,0.44556937,4.45569366
0.8200,1.157339,0.000000,2.266754,0.000000,2.266754,0.44115941,0.44115346,4.41153461
0.8300,1.171424,0.000000,2.289443,0.000000,2.289443,0.43678750,0.43678154,4.36781535
0.8400,1.185509,0.000000,2.312357,0.000000,2.312357,0.43245912,0.43245315,4.32453147
0.8500,1.199592,0.000000,2.335500,0.000000,2.335500,0.42817384,0.42816786,4.28167861
0.8600,1.213675,0.000000,2.358873,0.000000,2.358873,0.42393124,0.42392525,4.23925247
0.8700,1.227758,0.000000,2.382479,0.000000,2.382479,0.41973088,0.41972488,4.19724877
0.8800,1.241839,0.000000,2.406320,0.000000,2.406320,0.41557234,0.41556633,4.15566328
0.8900,1.255920,0.000000,2.430398,0.000000,2.430398,0.41145520,0.41144918,4.11449183
0.9000,1.270001,0.000000,2.454716,0.000000,2.454716,0.40737905,0.40737303,4.07373026
0.9100,1.284080,0.000000,2.479276,0.000000,2.479276,0.40334348,0.40333745,4.03337449
0.9200,1.298159,0.000000,2.504081,0.000000,2.504081,0.39934808,0.39934204,3.99342044
0.9300,1.312237,0.000000,2.529133,0.000000,2.529133,0.39539245,0.39538641,3.95386410
0.9400,1.326315,0.000000,2.554434,0.000000,2.554434,0.39147620,0.39147015,3.91470150
0.9500,1.340391,0.000000,2.579987,0.000000,2.579987,0.38759892,0.38759287,3.87592869
0.9600,1.354467,0.000000,2.605794,0.000000,2.605794,0.38376023,0.38375418,3.83754177
0.9700,1.368543,0.000000,2.631858,0.000000,2.631858,0.37995974,0.37995369,3.79953689
0.9800,1.382618,0.000000,2.658181,0.000000,2.658181,0.37619708,0.37619102,3.76191023
0.9900,1.396692,0.000000,2.684767,0.000000,2.684767,0.37247186,0.37246580,3.72465800
1.0000,1.410765,0.000000,2.711617,0.000000,2.711617,0.36878370,0.36877765,3.68777646
1.0100,1.424838,0.000000,2.738734,0.000000,2.738734,0.36513225,0.36512619,3.65126190
1.0200,1.438909,0.000000,2.766121,0.000000,2.766121,0.36151712,0.36151106,3.61511065
1.0300,1.452981,0.000000,2.793780,0.000000,2.793780,0.35793796,0.35793191,3.57931908
1.0400,1.467051,0.000000,2.821715,0.000000,2.821715,0.35439441,0.35438836,3.54388360
1.0500,1.481121,0.000000,2.849928,0.000000,2.849928,0.35088611,0.35088006,3.50880064
1.0600,1.495190,0.000000,2.878421,0.000000,2.878421,0.34741271,0.34740667,3.47406668
1.0700,1.509259,0.000000,2.907198,0.000000,2.907198,0.34397386,0.34396782,3.43967823
1.0800,1.523327,0.000000,2.936261,0.000000,2.936261,0.34056922,0.34056318,3.40563184
1.0900,1.537394,0.000000,2.965613,0.000000,2.965613,0.33719844,0.33719241,3.37192409
1.1000,1.551460,0.000000,2.995257,0.000000,2.995257,0.33386119,0.33385516,3.33855160
1.1100,1.565526,0.000000,3.025196,0.000000,3.025196,0.33055712,0.33055110,3.30551100
1.1200,1.579591,0.000000,3.055432,0.000000,3.055432,0.32728591,0.32727990,3.27279900
1.1300,1.593655,0.000000,3.085970,0.000000,3.085970,0.32404724,0.32404123,3.24041229
1.1400,1.607719,0.000000,3.116811,0.000000,3.116811,0.32084076,0.32083476,3.20834764
1.1500,1.621782,0.000000,3.147959,0.000000,3.147959,0.31766617,0.31766018,3.17660182
1.1600,1.635844,0.000000,3.179416,0.000000,3.179416,0.31452315,0.31451717,3.14517165
1.1700,1.649906,0.000000,3.211187,0.000000,3.211187,0.31141137,0.31140540,3.11405398
1.1800,1.663967,0.000000,3.243273,0.000000,3.243273,0.30833053,0.30832457,3.08324567
1.1900,1.678027,0.000000,3.275678,0.000000,3.275678,0.30528032,0.30527437,3.05274365
1.2000,1.692087,0.000000,3.308405,0.000000,3.308405,0.30226043,0.30225449,3.02254485
1.2100,1.706146,0.000000,3.341458,0.000000,3.341458,0.29927056,0.29926462,2.99264624
1.2200,1.720204,0.000000,3.374839,0.000000,3.374839,0.29631041,0.29630448,2.96304483
1.2300,1.734261,0.000000,3.408552,0.000000,3.408552,0.29337968,0.29337376,2.93373764
1.2400,1.748318,0.000000,3.442601,0.000000,3.442601,0.29047808,0.29047217,2.90472174
1.2500,1.762374,0.000000,3.476987,0.000000,3.476987,0.28760531,0.28759942,2.87599422
1.2600,1.776430,0.000000,3.511716,0.000000,3.511716,0.28476110,0.28475522,2.84755219
1.2700,1.790484,0.000000,3.546789,0.000000,3.546789,0.28194515,0.28193928,2.81939281
1.2800,1.804538,0.000000,3.582211,0.000000,3.582211,0.27915718,0.27915133,2.79151326
1.2900,1.818592,0.000000,3.617985,0.000000,3.617985,0.27639692,0.27639107,2.76391073
1.3000,1.832644,0.000000,3.654115,0.000000,3.654115,0.27366408,0.27365825,2.73658247
1.3100,1.846696,0.000000,3.690604,0.000000,3.690604,0.27095839,0.27095257,2.70952574
1.3200,1.860748,0.000000,3.727455,0.000000,3.727455,0.26827958,0.26827378,2.68273781
1.3300,1.874798,0.000000,3.764672,0.000000,3.764672,0.26562739,0.26562160,2.65621602
1.3400,1.888848,0.000000,3.802259,0.000000,3.802259,0.26300154,0.26299577,2.62995770
1.3500,1.902897,0.000000,3.840220,0.000000,3.840220,0.26040178,0.26039602,2.60396023
1.3600,1.916946,0.000000,3.878557,0.000000,3.878557,0.25782784,0.25782210,2.57822099
1.3700,1.930994,0.000000,3.917275,0.000000,3.917275,0.25527947,0.25527374,2.55273742
1.3800,1.945041,0.000000,3.956378,0.000000,3.956378,0.25275641,0.25275070,2.52750696
1.3900,1.959087,0.000000,3.995870,0.000000,3.995870,0.25025840,0.25025271,2.50252708
1.4000,1.973133,0.000000,4.035753,0.000000,4.035753,0.24778521,0.24777953,2.47779529
1.4100,1.987178,0.000000,4.076033,0.000000,4.076033,0.24533657,0.24533091,2.45330910
1.4200,2.001223,0.000000,4.116713,0.000000,4.116713,0.24291225,0.24290661,2.42906607
1.4300,2.015267,0.000000,4.157797,0.000000,4.157797,0.24051201,0.24050638,2.40506377
1.4400,2.029310,0.000000,4.199288,0.000000,4.199288,0.23813559,0.23812998,2.38129980
1.4500,2.043352,0.000000,4.241192,0.000000,4.241192,0.23578277,0.23577718,2.35777177
1.4600,2.057394,0.000000,4.283512,0.000000,4.283512,0.23345331,0.23344773,2.33447735
1.4700,2.071435,0.000000,4.326252,0.000000,4.326252,0.23114698,0.23114142,2.31141419
1.4800,2.085475,0.000000,4.369416,0.000000,4.369416,0.22886354,0.22885800,2.28857998
1.4900,2.099515,0.000000,4.413009,0.000000,4.413009,0.22660277,0.22659725,2.26597246
1.5000,2.113554,0.000000,4.457034,0.000000,4.457034,0.22436444,0.22435893,2.24358934
1.5100,2.127592,0.000000,4.501497,0.000000,4.501497,0.22214833,0.22214284,2.22142840
1.5200,2.141630,0.000000,4.546401,0.000000,4.546401,0.21995421,0.21994874,2.19948742
1.5300,2.155666,0.000000,4.591750,0.000000,4.591750,0.21778187,0.21777642,2.17776420
1.5400,2.169703,0.000000,4.637550,0.000000,4.637550,0.21563109,0.21562566,2.15625658
1.5500,2.183738,0.000000,4.683805,0.000000,4.683805,0.21350165,0.21349624,2.13496240
1.5600,2.197773,0.000000,4.730518,0.000000,4.730518,0.21139335,0.21138795,2.11387953
1.5700,2.211807,0.000000,4.777695,0.000000,4.777695,0.20930596,0.20930059,2.09300587
1.5800,2.225841,0.000000,4.825340,0.000000,4.825340,0.20723929,0.20723393,2.07233933
1.5900,2.239873,0.000000,4.873458,0.000000,4.873458,0.20519312,0.20518778,2.05187785
1.6000,2.253906,0.000000,4.922053,0.000000,4.922053,0.20316725,0.20316194,2.03161938
1.6100,2.267937,0.000000,4.971131,0.000000,4.971131,0.20116148,0.20115619,2.01156189
1.6200,2.281968,0.000000,5.020695,0.000000,5.020695,0.19917561,0.19917034,1.99170339
1.6300,2.295998,0.000000,5.070751,0.000000,5.070751,0.19720944,0.19720419,1.97204189
1.6400,2.310027,0.000000,5.121304,0.000000,5.121304,0.19526278,0.19525754,1.95257543
1.6500,2.324056,0.000000,5.172358,0.000000,5.172358,0.19333542,0.19333021,1.93330206
1.6600,2.338084,0.000000,5.223919,0.000000,5.223919,0.19142718,0.19142199,1.91421986
1.6700,2.352111,0.000000,5.275991,0.000000,5.275991,0.18953786,0.18953269,1.89532691
1.6800,2.366138,0.000000,5.328579,0.000000,5.328579,0.18766729,0.18766213,1.87662135
1.6900,2.380164,0.000000,5.381689,0.000000,5.381689,0.18581526,0.18581013,1.85810129
1.7000,2.394189,0.000000,5.435326,0.000000,5.435326,0.18398160,0.18397649,1.83976489
1.7100,2.408214,0.000000,5.489495,0.000000,5.489495,0.18216612,0.18216103,1.82161033
1.7200,2.422238,0.000000,5.544201,0.000000,5.544201,0.18036865,0.18036358,1.80363578
1.7300,2.436261,0.000000,5.599449,0.000000,5.599449,0.17858899,0.17858394,1.78583945
1.7400,2.450283,0.000000,5.655246,0.000000,5.655246,0.17682698,0.17682196,1.76821957
1.7500,2.464305,0.000000,5.711595,0.000000,5.711595,0.17508244,0.17507744,1.75077439
1.7600,2.478326,0.000000,5.768503,0.000000,5.768503,0.17335520,0.17335021,1.73350215
1.7700,2.492347,0.000000,5.825975,0.000000,5.825975,0.17164507,0.17164011,1.71640114
1.7800,2.506367,0.000000,5.884018,0.000000,5.884018,0.16995190,0.16994697,1.69946965
1.7900,2.520386,0.000000,5.942635,0.000000,5.942635,0.16827552,0.16827060,1.68270599
1.8000,2.534404,0.000000,6.001834,0.000000,6.001834,0.16661575,0.16661085,1.66610850
1.8100,2.548422,0.000000,6.061619,0.000000,6.061619,0.16497243,0.16496755,1.64967551
1.8200,2.562439,0.000000,6.121997,0.000000,6.121997,0.16334539,0.16334054,1.63340539
1.8300,2.576456,0.000000,6.182973,0.000000,6.182973,0.16173448,0.16172965,1.61729652
