s,delta_d,tau1,tau2,t1,t2,min_mass_gap,theoretical_bound,eft_cutoff
0.0000,0.000000,0.000000,1.000000,0.000000,1.000000,1.00000000,1.00000000,10.00000000
0.0100,0.014142,0.000000,1.010050,0.000000,1.010050,0.99004983,0.99004983,9.90049834
0.0200,0.028284,0.000000,1.020201,0.000000,1.020201,0.98019867,0.98019867,9.80198673
0.0300,0.042426,0.000000,1.030455,0.000000,1.030455,0.97044553,0.97044553,9.70445534
0.0400,0.056569,0.000000,1.040811,0.000000,1.040811,0.96078944,0.96078944,9.60789439
0.0500,0.070711,0.000000,1.051271,0.000000,1.051271,0.95122942,0.95122942,9.51229425
0.0600,0.084853,0.000000,1.061837,0.000000,1.061837,0.94176453,0.94176453,9.41764534
0.0700,0.098995,0.000000,1.072508,0.000000,1.072508,0.93239382,0.93239382,9.32393820
0.0800,0.113137,0.000000,1.083287,0.000000,1.083287,0.92311635,0.92311635,9.23116346
0.0900,0.127279,0.000000,1.094174,0.000000,1.094174,0.91393119,0.91393119,9.13931185
0.1000,0.141421,0.000000,1.105171,0.000000,1.105171,0.90483742,0.90483742,9.04837418
0.1100,0.155563,0.000000,1.116278,0.000000,1.116278,0.89583414,0.89583414,8.95834135
0.1200,0.169706,0.000000,1.127497,0.000000,1.127497,0.88692044,0.88692044,8.86920437
0.1300,0.183848,0.000000,1.138828,0.000000,1.138828,0.87809543,0.87809543,8.78095431
0.1400,0.197990,0.000000,1.150274,0.000000,1.150274,0.86935824,0.86935824,8.69358235
0.1500,0.212132,0.000000,1.161834,0.000000,1.161834,0.86070798,0.86070798,8.60707976
0.1600,0.226274,0.000000,1.173511,0.000000,1.173511,0.85214379,0.85214379,8.52143789
0.1700,0.240416,0.000000,1.185305,0.000000,1.185305,0.84366482,0.84366482,8.43664817
0.1800,0.254558,0.000000,1.197217,0.000000,1.197217,0.83527021,0.83527021,8.35270211
0.1900,0.268701,0.000000,1.209250,0.000000,1.209250,0.82695913,0.82695913,8.26959134
0.2000,0.282843,0.000000,1.221403,0.000000,1.221403,0.81873075,0.81873075,8.18730753
0.2100,0.296985,0.000000,1.233678,0.000000,1.233678,0.81058425,0.81058425,8.10584246
0.2200,0.311127,0.000000,1.246077,0.000000,1.246077,0.80251880,0.80251880,8.02518798
0.2300,0.325269,0.000000,1.258600,0.000000,1.258600,0.79453360,0.79453360,7.94533603
0.2400,0.339411,0.000000,1.271249,0.000000,1.271249,0.78662786,0.78662786,7.86627861
0.2500,0.353553,0.000000,1.284025,0.000000,1.284025,0.77880078,0.77880078,7.78800783
0.2600,0.367696,0.000000,1.296930,0.000000,1.296930,0.77105159,0.77105159,7.71051586
0.2700,0.381838,0.000000,1.309964,0.000000,1.309964,0.76337949,0.76337949,7.63379494
0.2800,0.395980,0.000000,1.323130,0.000000,1.323130,0.75578374,0.75578374,7.55783741
0.2900,0.410122,0.000000,1.336427,0.000000,1.336427,0.74826357,0.74826357,7.48263568
0.3000,0.424264,0.000000,1.349859,0.000000,1.349859,0.74081822,0.74081822,7.40818221
0.3100,0.438406,0.000000,1.363425,0.000000,1.363425,0.73344696,0.73344696,7.33446956
0.3200,0.452548,0.000000,1.377128,0.000000,1.377128,0.72614904,0.72614904,7.26149037
0.3300,0.466690,0.000000,1.390968,0.000000,1.390968,0.71892373,0.71892373,7.18923733
0.3400,0.480833,0.000000,1.404948,0.000000,1.404948,0.71177032,0.71177032,7.11770323
0.3500,0.494975,0.000000,1.419068,0.000000,1.419068,0.70468809,0.70468809,7.04688090
0.3600,0.509117,0.000000,1.433329,0.000000,1.433329,0.69767633,0.69767633,6.97676326
0.3700,0.523259,0.000000,1.447735,0.000000,1.447735,0.69073433,0.69073433,6.90734331
0.3800,0.537401,0.000000,1.462285,0.000000,1.462285,0.68386141,0.68386141,6.83861409
0.3900,0.551543,0.000000,1.476981,0.000000,1.476981,0.67705687,0.67705687,6.77056874
0.4000,0.565685,0.000000,1.491825,0.000000,1.491825,0.67032005,0.67032005,6.70320046
0.4100,0.579828,0.000000,1.506818,0.000000,1.506818,0.66365025,0.66365025,6.63650250
0.4200,0.593970,0.000000,1.521962,0.000000,1.521962,0.65704682,0.65704682,6.57046820
0.4300,0.608112,0.000000,1.537258,0.000000,1.537258,0.65050909,0.65050909,6.50509095
0.4400,0.622254,0.000000,1.552707,0.000000,1.552707,0.64403642,0.64403642,6.44036421
0.4500,0.636396,0.000000,1.568312,0.000000,1.568312,0.63762815,0.63762815,6.37628152
0.4600,0.650538,0.000000,1.584074,0.000000,1.584074,0.63128365,0.63128365,6.31283646
0.4700,0.664680,0.000000,1.599994,0.000000,1.599994,0.62500227,0.62500227,6.25002268
0.4800,0.678823,0.000000,1.616074,0.000000,1.616074,0.61878339,0.61878339,6.18783392
0.4900,0.692965,0.000000,1.632316,0.000000,1.632316,0.61262639,0.61262639,6.12626394
0.5000,0.707107,0.000000,1.648721,0.000000,1.648721,0.60653066,0.60653066,6.06530660
0.5100,0.721249,0.000000,1.665291,0.000000,1.665291,0.60049558,0.60049558,6.00495579
0.5200,0.735391,0.000000,1.682028,0.000000,1.682028,0.59452055,0.59452055,5.94520548
0.5300,0.749533,0.000000,1.698932,0.000000,1.698932,0.58860497,0.58860497,5.88604970
0.5400,0.763675,0.000000,1.716007,0.000000,1.716007,0.58274825,0.58274825,5.82748252
0.5500,0.777817,0.000000,1.733253,0.000000,1.733253,0.57694981,0.57694981,5.76949810
0.5600,0.791960,0.000000,1.750673,0.000000,1.750673,0.57120906,0.57120906,5.71209064
0.5700,0.806102,0.000000,1.768267,0.000000,1.768267,0.56552544,0.56552544,5.65525439
0.5800,0.820244,0.000000,1.786038,0.000000,1.786038,0.55989837,0.55989837,5.59898367
0.5900,0.834386,0.000000,1.803988,0.000000,1.803988,0.55432728,0.55432728,5.54327285
0.6000,0.848528,0.000000,1.822119,0.000000,1.822119,0.54881164,0.54881164,5.48811636
0.6100,0.862670,0.000000,1.840431,0.000000,1.840431,0.54335087,0.54335087,5.43350869
0.6200,0.876812,0.000000,1.858928,0.000000,1.858928,0.53794444,0.53794444,5.37944438
