r,phi_ratio,dphi_dr
1.00000e-04,1.97419e-14,1.15653e-36
6.11429e-03,1.98878e-14,3.66513e-14
1.21286e-02,2.02411e-14,7.99966e-14
1.81429e-02,2.08504e-14,1.22872e-13
2.41571e-02,2.17239e-14,1.68091e-13
3.01714e-02,2.28795e-14,2.16904e-13
3.61857e-02,2.43424e-14,2.70471e-13
4.22000e-02,2.61449e-14,3.30036e-13
4.82143e-02,2.83271e-14,3.96989e-13
5.42286e-02,3.09381e-14,4.72910e-13
6.02429e-02,3.40371e-14,5.59613e-13
6.62571e-02,3.76952e-14,6.59198e-13
7.22714e-02,4.19970e-14,7.74110e-13
7.82857e-02,4.70431e-14,9.07205e-13
8.43000e-02,5.29525e-14,1.06183e-12
9.03143e-02,5.98663e-14,1.24191e-12
9.63286e-02,6.79511e-14,1.45207e-12
1.02343e-01,7.74039e-14,1.69777e-12
1.08357e-01,8.84570e-14,1.98544e-12
1.14371e-01,1.01385e-13,2.32267e-12
1.20386e-01,1.16513e-13,2.71843e-12
1.26400e-01,1.34222e-13,3.18335e-12
1.32414e-01,1.54967e-13,3.72999e-12
1.38429e-01,1.79282e-13,4.37324e-12
1.44443e-01,2.07800e-13,5.13072e-12
1.50457e-01,2.41268e-13,6.02331e-12
1.56471e-01,2.80572e-13,7.07580e-12
1.62486e-01,3.26759e-13,8.31757e-12
1.68500e-01,3.81069e-13,9.78347e-12
1.74514e-01,4.44972e-13,1.15149e-11
1.80529e-01,5.20207e-13,1.35609e-11
1.86543e-01,6.08837e-13,1.59800e-11
1.92557e-01,7.13309e-13,1.88414e-11
1.98571e-01,8.36523e-13,2.22274e-11
2.04586e-01,9.81920e-13,2.62361e-11
2.10600e-01,1.15359e-12,3.09838e-11
2.16614e-01,1.35637e-12,3.66091e-11
2.22629e-01,1.59603e-12,4.32766e-11
2.28643e-01,1.87940e-12,5.11825e-11
2.34657e-01,2.21463e-12,6.05599e-11
2.40671e-01,2.61136e-12,7.16868e-11
2.46686e-01,3.08108e-12,8.48937e-11
2.52700e-01,3.63746e-12,1.00575e-10
2.58714e-01,4.29674e-12,1.19199e-10
2.64729e-01,5.07827e-12,1.41326e-10
2.70743e-01,6.00504e-12,1.67621e-10
2.76757e-01,7.10444e-12,1.98880e-10
2.82771e-01,8.40910e-12,2.36048e-10
2.88786e-01,9.95786e-12,2.80256e-10
2.94800e-01,1.17970e-11,3.32849e-10
3.00814e-01,1.39816e-11,3.95436e-10
3.06829e-01,1.65773e-11,4.69931e-10
3.12843e-01,1.96626e-11,5.58623e-10
3.18857e-01,2.33307e-11,6.64242e-10
3.24871e-01,2.76929e-11,7.90045e-10
3.30886e-01,3.28820e-11,9.39923e-10
3.36900e-01,3.90563e-11,1.11852e-09
3.42914e-01,4.64048e-11,1.33139e-09
3.48929e-01,5.51529e-11,1.58515e-09
3.54943e-01,6.55696e-11,1.88772e-09
3.60957e-01,7.79762e-11,2.24856e-09
3.66971e-01,9.27559e-11,2.67897e-09
3.72986e-01,1.10367e-10,3.19245e-09
