t,x,tachyon_field,tachyon_velocity,tachyon_gradient,gauge_field,potential,energy_density,is_soliton_core
0.0000,-5.0000,-0.098661,0.000000,0.000691,0.000193,0.995153,0.995153,0
0.0000,-4.9219,-0.098553,0.000000,0.001437,0.000230,0.995163,0.995164,0
0.0000,-4.8438,-0.098437,0.000000,0.001552,0.000272,0.995175,0.995176,0
0.0000,-4.7656,-0.098311,0.000000,0.001676,0.000321,0.995187,0.995188,0
0.0000,-4.6875,-0.098175,0.000000,0.001810,0.000379,0.995200,0.995202,0
0.0000,-4.6094,-0.098028,0.000000,0.001954,0.000445,0.995214,0.995216,0
0.0000,-4.5312,-0.097869,0.000000,0.002110,0.000522,0.995230,0.995232,0
0.0000,-4.4531,-0.097698,0.000000,0.002277,0.000610,0.995246,0.995249,0
0.0000,-4.3750,-0.097514,0.000000,0.002458,0.000711,0.995264,0.995267,0
0.0000,-4.2969,-0.097314,0.000000,0.002652,0.000826,0.995284,0.995287,0
0.0000,-4.2188,-0.097099,0.000000,0.002861,0.000958,0.995304,0.995308,0
0.0000,-4.1406,-0.096867,0.000000,0.003087,0.001107,0.995327,0.995331,0
0.0000,-4.0625,-0.096617,0.000000,0.003329,0.001277,0.995351,0.995356,0
0.0000,-3.9844,-0.096347,0.000000,0.003589,0.001468,0.995376,0.995383,0
0.0000,-3.9062,-0.096056,0.000000,0.003870,0.001684,0.995404,0.995412,0
0.0000,-3.8281,-0.095743,0.000000,0.004171,0.001926,0.995434,0.995443,0
0.0000,-3.7500,-0.095405,0.000000,0.004494,0.002197,0.995466,0.995476,0
0.0000,-3.6719,-0.095040,0.000000,0.004841,0.002499,0.995501,0.995512,0
0.0000,-3.5938,-0.094648,0.000000,0.005213,0.002835,0.995538,0.995551,0
0.0000,-3.5156,-0.094226,0.000000,0.005612,0.003207,0.995577,0.995593,0
0.0000,-3.4375,-0.093771,0.000000,0.006040,0.003619,0.995620,0.995638,0
0.0000,-3.3594,-0.093282,0.000000,0.006498,0.004072,0.995665,0.995686,0
0.0000,-3.2812,-0.092756,0.000000,0.006987,0.004570,0.995714,0.995738,0
0.0000,-3.2031,-0.092190,0.000000,0.007511,0.005114,0.995765,0.995794,0
0.0000,-3.1250,-0.091582,0.000000,0.008069,0.005708,0.995821,0.995853,0
0.0000,-3.0469,-0.090929,0.000000,0.008666,0.006354,0.995880,0.995918,0
0.0000,-2.9688,-0.090228,0.000000,0.009301,0.007053,0.995943,0.995986,0
0.0000,-2.8906,-0.089476,0.000000,0.009977,0.007808,0.996010,0.996060,0
0.0000,-2.8125,-0.088670,0.000000,0.010696,0.008621,0.996082,0.996139,0
0.0000,-2.7344,-0.087805,0.000000,0.011459,0.009493,0.996157,0.996223,0
0.0000,-2.6562,-0.086879,0.000000,0.012268,0.010424,0.996238,0.996313,0
0.0000,-2.5781,-0.085888,0.000000,0.013124,0.011416,0.996323,0.996409,0
0.0000,-2.5000,-0.084828,0.000000,0.014029,0.012468,0.996413,0.996511,0
