rho,phi,dphi_drho,potential,euclidean_action_density,cumulative_action
0.0000,1.823975,0.000000,-0.341078,0.000000,0.000000
0.0200,1.823886,-0.008875,-0.341039,0.000000,0.000000
0.0400,1.823886,0.008868,-0.341039,0.000000,0.000000
0.0600,1.823842,-0.013316,-0.341019,0.000000,0.000000
0.0800,1.823620,-0.008885,-0.340920,0.000000,0.000000
0.1000,1.823420,-0.011124,-0.340831,0.000001,0.000000
0.1200,1.823175,-0.013367,-0.340722,0.000003,0.000000
0.1400,1.822885,-0.015620,-0.340592,0.000007,0.000000
0.1600,1.822550,-0.017885,-0.340442,0.000013,0.000000
0.1800,1.822169,-0.020162,-0.340271,0.000023,0.000000
0.2000,1.821743,-0.022455,-0.340078,0.000040,0.000001
0.2200,1.821271,-0.024765,-0.339864,0.000064,0.000002
0.2400,1.820752,-0.027093,-0.339628,0.000100,0.000003
0.2600,1.820187,-0.029441,-0.339370,0.000150,0.000004
0.2800,1.819574,-0.031811,-0.339088,0.000219,0.000006
0.3000,1.818914,-0.034205,-0.338784,0.000312,0.000009
0.3200,1.818206,-0.036625,-0.338455,0.000434,0.000014
0.3400,1.817449,-0.039073,-0.338101,0.000592,0.000020
0.3600,1.816643,-0.041549,-0.337722,0.000795,0.000028
0.3800,1.815787,-0.044056,-0.337317,0.001051,0.000038
0.4000,1.814880,-0.046597,-0.336885,0.001371,0.000052
0.4200,1.813923,-0.049172,-0.336425,0.001768,0.000069
0.4400,1.812913,-0.051783,-0.335937,0.002254,0.000092
0.4600,1.811851,-0.054434,-0.335419,0.002846,0.000120
0.4800,1.810735,-0.057124,-0.334871,0.003562,0.000156
0.5000,1.809565,-0.059857,-0.334291,0.004420,0.000200
0.5200,1.808341,-0.062633,-0.333678,0.005444,0.000255
0.5400,1.807060,-0.065456,-0.333031,0.006659,0.000321
0.5600,1.805722,-0.068327,-0.332349,0.008092,0.000402
0.5800,1.804326,-0.071248,-0.331631,0.009775,0.000500
0.6000,1.802871,-0.074221,-0.330875,0.011744,0.000617
0.6200,1.801357,-0.077248,-0.330080,0.014036,0.000758
0.6400,1.799781,-0.080330,-0.329243,0.016696,0.000925
0.6600,1.798143,-0.083471,-0.328364,0.019770,0.001122
0.6800,1.796441,-0.086672,-0.327441,0.023312,0.001356
0.7000,1.794675,-0.089935,-0.326472,0.027381,0.001629
0.7200,1.792843,-0.093262,-0.325456,0.032041,0.001950
0.7400,1.790944,-0.096655,-0.324389,0.037363,0.002323
0.7600,1.788977,-0.100116,-0.323271,0.043426,0.002758
0.7800,1.786939,-0.103648,-0.322098,0.050316,0.003261
0.8000,1.784830,-0.107252,-0.320870,0.058128,0.003842
0.8200,1.782648,-0.110931,-0.319583,0.066965,0.004512
0.8400,1.780392,-0.114687,-0.318235,0.076942,0.005281
0.8600,1.778060,-0.118521,-0.316823,0.088183,0.006163
0.8800,1.775650,-0.122436,-0.315346,0.100824,0.007171
0.9000,1.773162,-0.126434,-0.313799,0.115015,0.008321
0.9200,1.770592,-0.130517,-0.312181,0.130918,0.009631
0.9400,1.767940,-0.134688,-0.310487,0.148709,0.011118
0.9600,1.765204,-0.138947,-0.308716,0.168582,0.012803
0.9800,1.762381,-0.143298,-0.306864,0.190747,0.014711
1.0000,1.759471,-0.147742,-0.304927,0.215431,0.016865
1.0200,1.756471,-0.152282,-0.302902,0.242883,0.019294
1.0400,1.753379,-0.156919,-0.300785,0.273370,0.022028
1.0600,1.750193,-0.161655,-0.298572,0.307183,0.025100
1.0800,1.746911,-0.166493,-0.296261,0.344638,0.028546
1.1000,1.743532,-0.171434,-0.293846,0.386075,0.032407
1.1200,1.740053,-0.176480,-0.291323,0.431862,0.036725
1.1400,1.736472,-0.181633,-0.288688,0.482396,0.041549
1.1600,1.732786,-0.186895,-0.285937,0.538106,0.046930
1.1800,1.728995,-0.192267,-0.283065,0.599451,0.052925
